domain,sector,source,productsCounted,variantsCounted,pagesCounted,cappedAtMaxPages,productsEndpointStatus,contactUrl,leadGrade,sampleProduct,angle,notes,error
mocaautoparts.myshopify.com,auto parts,public search result,1000,1000,4,yes,200,https://mocaautoparts.myshopify.com/pages/contact,B,MOCA AC Compressor - AC4574J,Auto parts supplier-cost and fitment catalog,Public result describes distributor and retailer of spare parts,
first-truck-parts.myshopify.com,auto parts,public search result,1000,1000,4,yes,200,https://first-truck-parts.myshopify.com/pages/contact,B,"3678923 | Genuine Cummins® Fuel Filter Housing, Assembly",Heavy truck parts supplier-cost and inventory-risk catalog,Public result exposes customer service email,
partsource.myshopify.com,auto parts,public search result,1000,1000,4,yes,200,https://partsource.myshopify.com/pages/contact-us,B,"ZFR5F-11 NGK Laser Platinum Spark Plug, 1-pk",Large aftermarket auto parts assortment,Public result describes 300000+ part assortment,
brooklinen.com,home goods,public Shopify examples,438,5719,2,no,200,https://brooklinen.com/pages/contact,C,Washed Classic Percale Core Sheet Set - Last Call,Home goods catalog and inventory exposure,Use only if public contact route is appropriate,
allbirds.com,apparel,prepared merchant pipeline,481,4826,2,no,200,https://allbirds.com/pages/contact-us,C,Women's Tree Dasher Relay - Natural Black (Twilight Teal Sole),Footwear variant catalog with inventory exposure,Existing public probe found variant depth,
jeffreestarcosmetics.com,beauty,public Shopify examples,241,1237,1,no,200,https://jeffreestarcosmetics.com/pages/contact-us,C,Game Day Essentials,Beauty catalog launch margin cleanup,Use only if public contact route is appropriate,
kyliecosmetics.com,beauty,public Shopify Plus beauty examples,227,684,1,no,200,https://kyliecosmetics.com/pages/contact,C,Supple Glaze Hydrating Primer,Beauty catalog launch and SKU cleanup,Use only if public contact route is appropriate,
drsquatch.com,personal care,public Shopify examples,552,658,3,no,200,https://drsquatch.com/pages/contact-us,C,Festival Set + FREE Deo Flask,Personal care SKU and bundle margin checks,Use only if public contact route is appropriate,
toyolex-parts-connection.myshopify.com,auto parts,public search result,524,524,3,no,200,https://toyolex-parts-connection.myshopify.com/pages/contact,C,NEW GENUINE TOYOTA & LEXUS OEM TIMING CHAIN INTAKE & EXHAUST GEAR SET 4 PCS,Toyota and Lexus replacement parts supplier-cost risk,Public result describes OEM and OE replacement parts,
57bb73-4.myshopify.com,automotive accessories,public search result,486,572,2,no,200,https://57bb73-4.myshopify.com/pages/contact,D,Replacement Direct Drive Air Compressor for HOGKIT-1,Vehicle accessories and parts inventory risk,Public result describes air horns and accessories,
glossier.com,beauty,public Shopify examples,120,392,1,no,200,https://glossier.com/pages/contact-us,D,Boy Brow Duo,Beauty product cost and launch cleanup,Use only if public contact route is appropriate,
deathwishcoffee.com,food and beverage,prepared merchant pipeline,133,390,1,no,200,,D,(SOLD OUT) Declaration of Caffeination Mystery Mug,Consumable SKU and bundle margin checks,Existing public probe found product data,
partsworldusa-stg.myshopify.com,auto parts,public search result,103,103,1,no,200,https://partsworldusa-stg.myshopify.com/pages/contact,D,12V 110A Alternator fits Ford F-150 (2004-2008) 8318N,Starter motor and alternator parts ecosystem,Public result describes broad parts line,
peakdesign.com,accessories,public Shopify examples,102,102,1,no,200,https://peakdesign.com/pages/contact-us,D,Travel Backpack 2-in-1 + Bundle 2 | Stone,Accessory SKU margin and inventory exposure,Use only if public contact route is appropriate,
beardbrand.com,beauty,prepared merchant pipeline,71,85,1,no,200,https://beardbrand.com/pages/contact,D,Short Game Men's Cologne,Grooming catalog margin cleanup,Existing public probe found product data,
skims.com,apparel,public Shopify Plus examples,0,0,0,no,404,https://skims.com/pages/contact-us,D,,High-volume apparel and variant catalog,Use only if public contact route is appropriate,
bombas.com,apparel,public Shopify Plus examples,0,0,0,no,404,https://bombas.com/pages/contact-us,D,,Sock and apparel variant catalog,Use only if public contact route is appropriate,
vuoriclothing.com,apparel,public Shopify examples,0,0,0,no,404,,D,,Apparel catalog margin checks,Use only if public contact route is appropriate,
